timestamp;modelo;turno;resultado_final;cs_code;cs_detail;p_esq;p_dir;th_presente;camera_index;directshow;source;total;ok;ng;yield_pct;test_time_sec;start_time;end_time
2026-02-06 20:14:47;UNICORN_WHITE_15W;1;NG;NG_DIR;p_dir<0.40;0.9892;0.2146;0.4;0;True;camera;1;0;1;0.0;1.689;2026-02-06 20:14:46;2026-02-06 20:14:47
2026-02-06 20:24:37;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.40 | p_dir<0.40;0.0224;0.3039;0.4;0;True;camera;2;0;2;0.0;1.220;2026-02-06 20:24:36;2026-02-06 20:24:37
2026-02-06 20:24:44;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.40 | p_dir<0.40;0.0274;0.2134;0.4;0;True;camera;3;0;3;0.0;1.108;2026-02-06 20:24:42;2026-02-06 20:24:44
2026-02-06 20:24:48;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.40 | p_dir<0.40;0.0265;0.3046;0.4;0;True;camera;4;0;4;0.0;1.129;2026-02-06 20:24:47;2026-02-06 20:24:48
2026-02-06 20:24:57;UNICORN_WHITE_15W;1;OK;OK;OK;0.9935;0.9973;0.4;0;True;camera;5;1;4;20.0;1.196;2026-02-06 20:24:56;2026-02-06 20:24:57
2026-02-06 20:53:17;UNICORN_WHITE_15W;1;OK;OK;OK;0.9852;0.9933;0.4;0;True;camera;6;2;4;33.33;0.858;2026-02-06 20:53:16;2026-02-06 20:53:17
2026-02-06 20:53:26;UNICORN_WHITE_15W;1;OK;OK;OK;0.9843;0.6137;0.4;0;True;camera;7;3;4;42.86;0.830;2026-02-06 20:53:25;2026-02-06 20:53:26
2026-02-06 21:02:08;UNICORN_WHITE_15W;1;OK;OK;OK;0.9842;0.4856;0.4;0;True;camera;8;4;4;50.0;0.856;2026-02-06 21:02:07;2026-02-06 21:02:08
2026-02-06 21:02:18;UNICORN_WHITE_15W;1;OK;OK;OK;0.974;0.9946;0.4;0;True;camera;9;5;4;55.56;2.814;2026-02-06 21:02:15;2026-02-06 21:02:18
2026-02-06 21:02:21;UNICORN_WHITE_15W;1;OK;OK;OK;0.974;0.995;0.4;0;True;camera;10;6;4;60.0;0.841;2026-02-06 21:02:20;2026-02-06 21:02:21
2026-02-06 21:02:29;UNICORN_WHITE_15W;1;NG;NG_AMBAS;p_esq<0.40 | p_dir<0.40;0.0335;0.2967;0.4;0;True;camera;11;6;5;54.55;0.842;2026-02-06 21:02:28;2026-02-06 21:02:29
2026-02-06 21:02:36;UNICORN_WHITE_15W;1;OK;OK;OK;0.9805;0.9944;0.4;0;True;camera;12;7;5;58.33;0.829;2026-02-06 21:02:35;2026-02-06 21:02:36
