timestamp;inspection_id;system_name;equipment_id;mes_enabled;traceability_enabled;production_order;serial_number;model_name;shift;operation_mode;source;result_left;result_right;final_result;confidence_left;confidence_right;image_path;xml_path;mes_status
2026-03-06 19:39:29;INSP_20260306_193929_858524;SVC Inspeção de Molas - DUAL;SVC01;False;True;;GH44-03133A+R37Y9RX1CD8SC3;UNICORN_WHITE_15W;2;OPERADOR;button;OK;NG_MISALIGNED;NG_MISALIGNED;0.985952;0.975072;in_memory_cam1_20260306_193929;;LOCAL
2026-03-06 19:40:39;INSP_20260306_194039_328661;SVC Inspeção de Molas - DUAL;SVC01;False;True;;GH44-03133A+R37Y9RX1CD8SC3;UNICORN_WHITE_15W;2;OPERADOR;button;OK;OK;OK;0.993049;0.852913;in_memory_cam1_20260306_194039;;LOCAL
2026-03-06 19:41:46;INSP_20260306_194146_461802;SVC Inspeção de Molas - DUAL;SVC01;False;True;GH44-03133A+R37Y9RX1CD8SC4;GH44-03133A+R37Y9RX1CD8SC3;UNICORN_WHITE_15W;2;OPERADOR;button;OK;OK;OK;0.992977;0.849955;in_memory_cam1_20260306_194146;;LOCAL
2026-03-06 19:44:00;INSP_20260306_194400_498731;SVC Inspeção de Molas - DUAL;SVC01;False;True;;GH44-03133A+R37Y9RX1CD8SC3;UNICORN_WHITE_15W;2;OPERADOR;button;OK;OK;OK;0.993989;0.864276;in_memory_cam1_20260306_194400;;LOCAL
2026-03-06 19:45:42;INSP_20260306_194542_099000;SVC Inspeção de Molas - DUAL;SVC01;True;True;SA45181IHS_Y25;GH44-03133A+R37Y9RX1CD8SC3;UNICORN_WHITE_15W;2;OPERADOR;button;OK;OK;OK;0.994640;0.832924;in_memory_cam1_20260306_194542;C:\Users\andre\Documents\Cursos Develops\visao_pc\logs\mes_xml\INSP_20260306_194542_099000_GH44-03133A+R37Y9RX1CD8SC3.xml;PENDENTE
2026-03-06 20:09:20;INSP_20260306_200920_688023;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.994238;0.820669;in_memory_cam1_20260306_200920;;LOCAL
2026-03-06 20:11:29;INSP_20260306_201129_665377;SVC Inspeção de Molas - DUAL;SVC01;True;True;SA45181IHS_Y25;GH44-03133A-R37Y9RX1CD8SC6;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995675;0.773647;in_memory_cam1_20260306_201129;C:\Users\andre\Documents\Cursos Develops\visao_pc\logs\mes_xml\INSP_20260306_201129_665377_GH44-03133A-R37Y9RX1CD8SC6.xml;PENDENTE
2026-03-06 20:24:52;INSP_20260306_202452_207249;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.993114;0.847753;in_memory_cam1_20260306_202452;;LOCAL
2026-03-06 20:55:29;INSP_20260306_205529_190237;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995399;0.822243;in_memory_cam1_20260306_205529;;LOCAL
2026-03-06 21:13:38;INSP_20260306_211338_134724;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.993934;0.855062;in_memory_cam1_20260306_211338;;LOCAL
2026-03-06 21:37:39;INSP_20260306_213739_188890;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995857;0.890053;in_memory_cam1_20260306_213739;;LOCAL
2026-03-06 21:46:44;INSP_20260306_214644_554915;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.994307;0.780201;in_memory_cam1_20260306_214644;;LOCAL
2026-03-06 21:46:52;INSP_20260306_214652_218776;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995086;0.844154;in_memory_cam1_20260306_214652;;LOCAL
2026-03-07 15:06:06;INSP_20260307_150606_369022;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995631;0.726655;in_memory_cam1_20260307_150606;;LOCAL
2026-03-07 15:21:05;INSP_20260307_152105_497465;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995825;0.872029;in_memory_cam1_20260307_152105;;LOCAL
2026-03-07 15:36:10;INSP_20260307_153610_148056;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.995183;0.844480;in_memory_cam1_20260307_153610;;LOCAL
2026-03-07 15:43:09;INSP_20260307_154309_329303;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.996036;0.837448;in_memory_cam1_20260307_154309;;LOCAL
2026-03-07 15:48:15;INSP_20260307_154815_822572;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;NG_MISALIGNED;NG_MISALIGNED;0.993262;0.774588;in_memory_cam1_20260307_154815;;LOCAL
2026-03-07 15:49:11;INSP_20260307_154911_775654;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.994556;0.885066;in_memory_cam1_20260307_154911;;LOCAL
2026-03-07 15:50:02;INSP_20260307_155002_705444;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.994288;0.864788;in_memory_cam1_20260307_155002;;LOCAL
2026-03-07 15:52:28;INSP_20260307_155228_943449;SVC Inspeção de Molas - DUAL;SVC01;False;False;;;UNICORN_WHITE_15W;1;OPERADOR;button;OK;OK;OK;0.994812;0.881740;in_memory_cam1_20260307_155228;;LOCAL
